model_name,model_family,budget_name,train_budget_samples,train_fraction_actual,full_train_size,budget_strategy,split_seed,model_seed,split_id,mae,rmse,r2,mape,n_train,n_val,n_test,target_unit,predictions_path,model_path,history_path,model_params_json,notes
cgcnn_optimized,cgcnn,B2000,2000,0.1320829480914014,15142,absolute_doubling_budgets,42,44,random_iid_seed_42_80_10_10,0.318759167312757,0.4332426916251038,0.6733523934549435,32.59581385700369,2000,1893,1893,eV/unit cell,outputs/runs/predictions/random_iid_cgcnn_optimized_B2000_seed44.csv,outputs/models/cgcnn/random_iid_cgcnn_optimized_B2000_seed44.pt,outputs/runs/history/random_iid_cgcnn_optimized_B2000_seed44.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/random_iid_cgcnn_optimized_B2000_seed44.pt; history_path=outputs/runs/history/random_iid_cgcnn_optimized_B2000_seed44.csv; validation MAE=0.308407."
cgcnn_optimized,cgcnn,B2000,2000,0.1320829480914014,15142,absolute_doubling_budgets,42,44,element_set_seed_42_80_10_10,0.2494147940949038,0.3479401609925587,0.7860616697134248,29.284458613279696,2000,1893,1893,eV/unit cell,outputs/runs/predictions/element_set_cgcnn_optimized_B2000_seed44.csv,outputs/models/cgcnn/element_set_cgcnn_optimized_B2000_seed44.pt,outputs/runs/history/element_set_cgcnn_optimized_B2000_seed44.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/element_set_cgcnn_optimized_B2000_seed44.pt; history_path=outputs/runs/history/element_set_cgcnn_optimized_B2000_seed44.csv; validation MAE=0.252267."
cgcnn_optimized,cgcnn,B8000,8000,0.5283317923656056,15142,absolute_doubling_budgets,42,42,random_iid_seed_42_80_10_10,0.159515310219212,0.2289392870572043,0.9087868105952516,17.141567976124307,8000,1893,1893,eV/unit cell,outputs/runs/predictions/random_iid_cgcnn_optimized_B8000_seed42.csv,outputs/models/cgcnn/random_iid_cgcnn_optimized_B8000_seed42.pt,outputs/runs/history/random_iid_cgcnn_optimized_B8000_seed42.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/random_iid_cgcnn_optimized_B8000_seed42.pt; history_path=outputs/runs/history/random_iid_cgcnn_optimized_B8000_seed42.csv; validation MAE=0.161123."
cgcnn_optimized,cgcnn,B8000,8000,0.5283317923656056,15142,absolute_doubling_budgets,42,42,element_set_seed_42_80_10_10,0.1685169790286081,0.2391851286313109,0.8989007742878703,17.757034840597477,8000,1893,1893,eV/unit cell,outputs/runs/predictions/element_set_cgcnn_optimized_B8000_seed42.csv,outputs/models/cgcnn/element_set_cgcnn_optimized_B8000_seed42.pt,outputs/runs/history/element_set_cgcnn_optimized_B8000_seed42.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/element_set_cgcnn_optimized_B8000_seed42.pt; history_path=outputs/runs/history/element_set_cgcnn_optimized_B8000_seed42.csv; validation MAE=0.171366."
cgcnn_optimized,cgcnn,B8000,8000,0.5283317923656056,15142,absolute_doubling_budgets,42,43,random_iid_seed_42_80_10_10,0.1701598751337139,0.2420839528448144,0.898012019135245,18.064479497978105,8000,1893,1893,eV/unit cell,outputs/runs/predictions/random_iid_cgcnn_optimized_B8000_seed43.csv,outputs/models/cgcnn/random_iid_cgcnn_optimized_B8000_seed43.pt,outputs/runs/history/random_iid_cgcnn_optimized_B8000_seed43.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/random_iid_cgcnn_optimized_B8000_seed43.pt; history_path=outputs/runs/history/random_iid_cgcnn_optimized_B8000_seed43.csv; validation MAE=0.167780."
cgcnn_optimized,cgcnn,B8000,8000,0.5283317923656056,15142,absolute_doubling_budgets,42,43,element_set_seed_42_80_10_10,0.2549782924808274,0.3348156598725439,0.8018970208334086,33.06608097422053,8000,1893,1893,eV/unit cell,outputs/runs/predictions/element_set_cgcnn_optimized_B8000_seed43.csv,outputs/models/cgcnn/element_set_cgcnn_optimized_B8000_seed43.pt,outputs/runs/history/element_set_cgcnn_optimized_B8000_seed43.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/element_set_cgcnn_optimized_B8000_seed43.pt; history_path=outputs/runs/history/element_set_cgcnn_optimized_B8000_seed43.csv; validation MAE=0.261239."
cgcnn_optimized,cgcnn,B8000,8000,0.5283317923656056,15142,absolute_doubling_budgets,42,44,random_iid_seed_42_80_10_10,0.1802958598214989,0.251307494106581,0.8900923634391242,19.05233143504564,8000,1893,1893,eV/unit cell,outputs/runs/predictions/random_iid_cgcnn_optimized_B8000_seed44.csv,outputs/models/cgcnn/random_iid_cgcnn_optimized_B8000_seed44.pt,outputs/runs/history/random_iid_cgcnn_optimized_B8000_seed44.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/random_iid_cgcnn_optimized_B8000_seed44.pt; history_path=outputs/runs/history/random_iid_cgcnn_optimized_B8000_seed44.csv; validation MAE=0.175771."
cgcnn_optimized,cgcnn,B8000,8000,0.5283317923656056,15142,absolute_doubling_budgets,42,44,element_set_seed_42_80_10_10,0.2082217037822604,0.2883031137545387,0.853114763235447,23.395629341284955,8000,1893,1893,eV/unit cell,outputs/runs/predictions/element_set_cgcnn_optimized_B8000_seed44.csv,outputs/models/cgcnn/element_set_cgcnn_optimized_B8000_seed44.pt,outputs/runs/history/element_set_cgcnn_optimized_B8000_seed44.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/element_set_cgcnn_optimized_B8000_seed44.pt; history_path=outputs/runs/history/element_set_cgcnn_optimized_B8000_seed44.csv; validation MAE=0.202278."
cgcnn_optimized,cgcnn,Bfull,15142,1.0,15142,absolute_doubling_budgets,42,42,random_iid_seed_42_80_10_10,0.0995281683409963,0.1358429810909036,0.9678862222842732,9.778209556800237,15142,1893,1893,eV/unit cell,outputs/runs/predictions/random_iid_cgcnn_optimized_Bfull_seed42.csv,outputs/models/cgcnn/random_iid_cgcnn_optimized_Bfull_seed42.pt,outputs/runs/history/random_iid_cgcnn_optimized_Bfull_seed42.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/random_iid_cgcnn_optimized_Bfull_seed42.pt; history_path=outputs/runs/history/random_iid_cgcnn_optimized_Bfull_seed42.csv; validation MAE=0.098799."
cgcnn_optimized,cgcnn,Bfull,15142,1.0,15142,absolute_doubling_budgets,42,42,element_set_seed_42_80_10_10,0.1247594918262624,0.170412221872353,0.9486806721475844,13.039281879382507,15142,1893,1893,eV/unit cell,outputs/runs/predictions/element_set_cgcnn_optimized_Bfull_seed42.csv,outputs/models/cgcnn/element_set_cgcnn_optimized_Bfull_seed42.pt,outputs/runs/history/element_set_cgcnn_optimized_Bfull_seed42.csv,"{""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}","CGCNN with RBF edge expansion, BatchNorm, residual CGConv blocks, and target standardization. Params={""batch_size"":128,""cutoff"":8.0,""device"":""cuda"",""early_stopping_patience"":15,""edge_dim"":64,""epochs"":100,""hidden_dim"":64,""lr"":0.0003,""monitor"":""val_mae"",""scheduler_patience"":8,""weight_decay"":1e-05}; model_path=outputs/models/cgcnn/element_set_cgcnn_optimized_Bfull_seed42.pt; history_path=outputs/runs/history/element_set_cgcnn_optimized_Bfull_seed42.csv; validation MAE=0.121191."
