split_strategy,budget_label,model,n_train,n_test,mae,rmse,r2,mae_low_10,mae_middle_80,mae_high_10
group_element_set,1000,rf_starter_descriptors,1000,1917,0.5029909233176839,0.6573695305038454,0.2139280046040991,0.879847004608295,0.3902367239101717,0.9811204301075269
group_element_set,2000,dummy_mean,2000,1917,0.5667311163275952,0.7425548305096734,-0.0029983968482840684,1.0888693548387096,0.374008322324967,1.526291935483871
group_element_set,2000,rf_starter_descriptors,2000,1917,0.48049160146061554,0.6336107160957605,0.26972201073293867,0.7906764976958525,0.37471941875825626,0.9795720430107527
group_element_set,4000,dummy_mean,4000,1917,0.5633316458007304,0.7416235631864083,-0.0004841746699590921,1.0645843548387097,0.3702012219286658,1.5505769354838705
group_element_set,4000,rf_starter_descriptors,4000,1917,0.4534284820031299,0.6074534091414064,0.32877344281145116,0.7423926267281106,0.35254848084544255,0.9374451612903226
group_element_set,8000,dummy_mean,8000,1917,0.5626578012519562,0.741525013299581,-0.00021829570909615015,1.0592243548387097,0.3694577608982827,1.555936935483871
group_element_set,8000,rf_starter_descriptors,8000,1917,0.4407244653103808,0.5925504790252135,0.36130444941031425,0.7197806451612904,0.3441165125495376,0.9015268817204303
group_element_set,full,dummy_mean,15104,1917,0.5640612773865413,0.7417739318819437,-0.0008899243229711917,1.0703881048387098,0.3710062334874505,1.5447731854838707
group_element_set,full,rf_starter_descriptors,15104,1917,0.4213890453834116,0.5702355580586776,0.4085040522928858,0.7005566820276498,0.3294155878467635,0.844337634408602
group_reduced_formula,500,dummy_mean,500,1892,0.569887399577167,0.736409521174839,-0.005074318049579141,1.1044998130841122,0.3781109504685408,1.505251304347826
group_reduced_formula,500,rf_starter_descriptors,500,1892,0.5145765327695561,0.676920280859185,0.1507521854008087,0.9155514018691588,0.3897167336010709,1.0620326086956522
group_reduced_formula,1000,dummy_mean,1000,1892,0.5711586680761099,0.7369934038476942,-0.006668751882116908,1.1121598130841122,0.3795670682730924,1.4975913043478262
group_reduced_formula,1000,rf_starter_descriptors,1000,1892,0.4830680761099366,0.641068139574232,0.23832838197357487,0.8639046728971963,0.37090281124497987,0.9508717391304349
group_reduced_formula,2000,dummy_mean,2000,1892,0.5664408139534884,0.735172676820015,-0.0017009870083781742,1.0824698130841122,0.37418856760374836,1.527281304347826
group_reduced_formula,2000,rf_starter_descriptors,2000,1892,0.47087906976744187,0.6273279103832998,0.27062880750523244,0.8072878504672898,0.3592864792503346,0.9857043478260871
group_reduced_formula,4000,dummy_mean,4000,1892,0.5660204968287528,0.7350618704587565,-0.0013990539244053135,1.0796498130841121,0.3737129049531459,1.530101304347826
group_reduced_formula,4000,rf_starter_descriptors,4000,1892,0.46277568710359407,0.6153238709257737,0.29827505852872915,0.7857308411214952,0.3610870147255689,0.9128326086956521
group_reduced_formula,8000,dummy_mean,8000,1892,0.5649203065539112,0.7348120671586125,-0.0007185390111916767,1.0718648130841124,0.3724759504685409,1.537886304347826
group_reduced_formula,8000,rf_starter_descriptors,8000,1892,0.44379577167019024,0.5922790181568457,0.34985222355872136,0.7451420560747664,0.34537643908969207,0.8924391304347826
group_reduced_formula,full,dummy_mean,15136,1892,0.5645460272249015,0.7347400276796556,-0.0005223318134184307,1.068962614352611,0.3720602406100795,1.5407885030793274
group_reduced_formula,full,rf_starter_descriptors,15136,1892,0.4240672304439746,0.5638318713913016,0.4108055752205825,0.692833644859813,0.33682945113788487,0.8198130434782607
