split_strategy,seed,budget_label,n_train,target_mean,target_std,target_q10,target_q50,target_q90,n_elements_covered,n_reduced_formula_groups,n_element_set_groups,n_low_10,n_high_10,nearest_jaccard_mean,nearest_jaccard_q10,nearest_jaccard_q50,nearest_jaccard_q90
group_element_set,0,8000,8000,1.4788200000000002,0.7360640130986722,0.66,1.38,2.46,56,5965,5296,790,825,0.7605720744218398,0.75,0.75,0.8
group_element_set,1,500,500,1.4940799999999999,0.7333893054488138,0.66,1.38,2.5020000000000007,56,493,490,49,57,0.6211615371239783,0.5,0.6,0.75
group_element_set,1,1000,1000,1.47764,0.7299057424029439,0.66,1.36,2.46,56,967,954,96,106,0.6473222048339419,0.5,0.6,0.75
group_element_set,1,2000,2000,1.4704000000000002,0.7473742865272266,0.64,1.36,2.46,56,1874,1814,214,211,0.6862023995826811,0.6,0.75,0.8
group_element_set,1,4000,4000,1.47299,0.7562239275222249,0.62,1.36,2.46,56,3488,3283,436,424,0.7311337158755,0.6,0.75,0.8
group_element_set,1,8000,8000,1.47827,0.7543685711193412,0.64,1.36,2.46,56,5936,5304,839,849,0.7609720048687186,0.75,0.75,0.8
group_element_set,2,500,500,1.44428,0.7499996537073349,0.6,1.34,2.4,56,492,487,58,47,0.6214310554686141,0.5,0.6,0.75
group_element_set,2,1000,1000,1.4663400000000002,0.7355556039120676,0.66,1.36,2.4220000000000006,56,972,949,99,100,0.6458268127282213,0.5,0.6,0.8
group_element_set,2,2000,2000,1.4617200000000001,0.730902285312707,0.64,1.34,2.442000000000003,56,1875,1801,204,203,0.6846896191966614,0.6,0.75,0.8
group_element_set,2,4000,4000,1.46081,0.733636490044546,0.64,1.34,2.42,56,3488,3251,419,393,0.7257259607024865,0.6,0.75,0.8
group_element_set,2,8000,8000,1.47615,0.7415044882623868,0.64,1.36,2.46,56,5921,5284,819,836,0.7615979829594853,0.75,0.75,0.8
group_element_set,3,500,500,1.44564,0.7316619772120153,0.62,1.37,2.38,56,491,486,52,46,0.6199182750825942,0.5,0.6,0.75
group_element_set,3,1000,1000,1.45344,0.7247994899975446,0.62,1.37,2.4220000000000006,56,964,945,108,100,0.6478786298035123,0.5,0.6,0.7700000000000046
group_element_set,3,2000,2000,1.45807,0.7385063106605404,0.62,1.36,2.44,56,1875,1802,220,203,0.683715875499913,0.6,0.75,0.8
group_element_set,3,4000,4000,1.470415,0.7398539543338509,0.64,1.38,2.44,56,3464,3224,426,402,0.7260215614675708,0.6,0.75,0.8
group_element_set,3,8000,8000,1.47451,0.7446474819564275,0.64,1.36,2.44,56,5894,5259,836,812,0.7595461658841941,0.75,0.75,0.8
group_element_set,4,500,500,1.50204,0.7237974882576037,0.62,1.39,2.4620000000000006,56,492,488,54,53,0.6178577638671534,0.5,0.6,0.75
group_element_set,4,1000,1000,1.47996,0.7161430438531532,0.66,1.36,2.46,56,974,955,99,104,0.6414797426534514,0.5,0.6,0.8
group_element_set,4,2000,2000,1.45266,0.7040175741928508,0.64,1.36,2.3620000000000028,56,1875,1809,207,184,0.6858198574161015,0.6,0.75,0.8
group_element_set,4,4000,4000,1.4696300000000002,0.7351403749915629,0.62,1.38,2.42,56,3490,3265,429,393,0.7312728221178925,0.6,0.75,0.8
group_element_set,4,8000,8000,1.4722674999999998,0.7451874740561507,0.62,1.36,2.44,56,5877,5241,856,807,0.7594766127629978,0.75,0.75,0.8
group_element_set,5,500,500,1.4310399999999999,0.746737807470743,0.6,1.34,2.3620000000000005,56,490,486,57,44,0.6172752564771342,0.5,0.6,0.75
group_element_set,5,1000,1000,1.4396399999999998,0.7307817131759061,0.64,1.34,2.3420000000000005,56,972,952,103,88,0.6409059294035819,0.5,0.6,0.75
group_element_set,5,2000,2000,1.4533399999999999,0.7542955158706905,0.6380000000000001,1.34,2.4,56,1874,1807,207,196,0.6860806816205878,0.6,0.75,0.8
group_element_set,5,4000,4000,1.475895,0.7585571179550687,0.64,1.36,2.46,56,3498,3266,409,430,0.7263867153538515,0.6,0.75,0.8
group_element_set,5,8000,8000,1.4771299999999998,0.7538435501563067,0.64,1.36,2.46,56,5988,5326,831,857,0.7596852721265867,0.75,0.75,0.8
group_element_set,6,500,500,1.40872,0.7137689358521951,0.6,1.3,2.32,56,491,483,64,45,0.6190140845070422,0.5,0.6,0.75
group_element_set,6,1000,1000,1.4297,0.7335101547675718,0.62,1.3,2.4,56,962,945,116,94,0.6415753781950965,0.5,0.6,0.7700000000000046
group_element_set,6,2000,2000,1.4409299999999998,0.7313822496462085,0.62,1.33,2.38,56,1866,1799,219,182,0.6873152495218223,0.6,0.75,0.8
group_element_set,6,4000,4000,1.4628050000000001,0.737321329313526,0.64,1.36,2.421999999999998,56,3476,3251,418,400,0.7306294557468267,0.6,0.75,0.8
group_element_set,6,8000,8000,1.4719075,0.7417927901453942,0.64,1.36,2.46,56,5936,5260,816,833,0.7611632759520084,0.75,0.75,0.8
group_element_set,7,500,500,1.5291199999999998,0.7705386981656025,0.6,1.44,2.62,56,492,487,54,67,0.617431750999826,0.5,0.6,0.75
group_element_set,7,1000,1000,1.5015,0.7602905969376393,0.62,1.4,2.56,56,967,948,106,120,0.6526951834463571,0.5,0.6,0.75
group_element_set,7,2000,2000,1.48442,0.7533210536716417,0.64,1.37,2.52,56,1864,1798,207,227,0.6914014953921056,0.6,0.75,0.8
group_element_set,7,4000,4000,1.473825,0.7486541859547283,0.64,1.36,2.48,56,3480,3255,417,431,0.7318466353677622,0.6,0.75,0.8
group_element_set,7,8000,8000,1.4750625,0.7407642422198637,0.64,1.36,2.46,56,5887,5264,815,836,0.7610589462702139,0.75,0.75,0.8
group_element_set,8,500,500,1.42792,0.7289862244451961,0.5980000000000001,1.34,2.34,56,494,492,57,42,0.6238741088506347,0.5,0.6,0.75
group_element_set,8,1000,1000,1.4626599999999998,0.7378613445382295,0.66,1.36,2.44,56,978,960,99,103,0.6522430881585811,0.5,0.6,0.8
group_element_set,8,2000,2000,1.46105,0.7424809334038377,0.64,1.36,2.4,56,1875,1808,208,194,0.69056685793775,0.6,0.75,0.8
group_element_set,8,4000,4000,1.460555,0.7355916433330624,0.64,1.36,2.4,56,3459,3257,405,390,0.7333594157537819,0.6,0.75,0.8
group_element_set,8,8000,8000,1.467355,0.7384039267364966,0.64,1.38,2.42,56,5910,5272,808,783,0.7618588071639716,0.75,0.75,0.8
group_element_set,9,500,500,1.4197199999999999,0.7312398683675422,0.62,1.3,2.36,56,493,491,57,45,0.615510346026778,0.5,0.6,0.75
group_element_set,9,1000,1000,1.4541999999999997,0.7477688936551976,0.64,1.34,2.4420000000000006,56,971,959,101,102,0.6390453834115806,0.5,0.6,0.75
group_element_set,9,2000,2000,1.4675799999999999,0.7544632204259447,0.6380000000000001,1.36,2.46,56,1866,1793,211,207,0.6842201356285863,0.6,0.75,0.8
group_element_set,9,4000,4000,1.4634699999999998,0.7508489213055157,0.64,1.34,2.441999999999998,56,3486,3255,425,408,0.7295861589288819,0.6,0.75,0.8
group_element_set,9,8000,8000,1.4662350000000002,0.7322497855879248,0.64,1.36,2.42,56,5924,5247,828,787,0.7619805251260651,0.75,0.75,0.8
